"","parent","par.name","child","chi.name","edge.length","depth","age","status"
"92",167,"node47",168,"node48",1.27315699248188,42.1070288219039,15.1673984,"node"
"93",168,"node48",169,"node49",11.8721828299165,53.9792116518204,3.2952156,"node"
"94",169,"node49",170,"node50",2.0536394236474,56.0328510754678,1.2415762,"node"
"95",170,"node50",171,"node51",0.180508515810079,56.2133595912779,1.0610677,"node"
"96",171,"node51",172,"node52",0.544113315307696,56.7574729065856,0.5169544,"node"
"101",169,"node49",173,"node53",0.98225956695192,54.9614712187723,2.312956,"node"
"102",173,"node53",174,"node54",1.05672088241408,56.0181921011864,1.2562352,"node"
"103",174,"node54",175,"node55",0.260210262160734,56.2784023633471,0.9960249,"node"
"108",168,"node48",176,"node56",11.1607541976321,53.267783019536,4.0066442,"node"
"109",176,"node56",177,"node57",2.69646978306538,55.9642528026014,1.3101745,"node"
"110",177,"node57",178,"node58",0.855807370145914,56.8200601727473,0.4543671,"node"
"115",167,"node47",179,"node59",2.97253341764035,43.8064052470624,13.468022,"node"
"116",179,"node59",180,"node60",12.4169183763272,56.2233236233896,1.0511036,"node"
"120",166,"node46",181,"node61",14.8509073450626,35.3565398632647,21.9178874,"node"
"121",181,"node61",182,"node62",5.41893709754659,40.7754769608112,16.4989503,"node"
"122",182,"node62",183,"node63",13.9396590891369,54.7151360499482,2.5592912,"node"
"123",183,"node63",184,"node64",0.830983715269217,55.5461197652174,1.7283075,"node"
"127",182,"node62",185,"node65",1.86073960436888,42.6362165651801,14.6382107,"node"
"129",185,"node65",186,"node66",5.51982464906104,48.1560412142412,9.118386,"node"
"130",186,"node66",187,"node67",3.80783751592304,51.9638787301642,5.3105485,"node"
"131",187,"node67",188,"node68",4.80229237418059,56.7661711043448,0.5082562,"node"
"134",187,"node67",189,"node69",0.350366965331985,52.3142456954962,4.9601816,"node"
"135",189,"node69",190,"node70",4.17416426714828,56.4884099626445,0.7860173,"node"
"138",189,"node69",191,"node71",1.90538228519166,54.2196279806879,3.0547993,"node"
"142",181,"node61",192,"node72",2.59418088040745,37.9507207436721,19.3237065,"node"
"143",192,"node72",193,"node73",1.82737930312335,39.7781000467955,17.4963272,"node"
"145",193,"node73",194,"node74",6.07843702278323,45.8565370695787,11.4178902,"node"
"146",194,"node74",195,"node75",1.32433084330559,47.1808679128843,10.0935594,"node"
"147",195,"node75",196,"node76",8.48331696001968,55.664184872904,1.6102424,"node"
"148",196,"node76",197,"node77",0.876666306729365,56.5408511796333,0.7335761,"node"
"152",195,"node75",198,"node78",0.038222850654174,47.2190907635385,10.0553365,"node"
"153",198,"node78",199,"node79",7.16198667430187,54.3810774378403,2.8933498,"node"
"154",199,"node79",200,"node80",1.64103759795522,56.0221150357956,1.2523122,"node"
"156",200,"node80",201,"node81",0.641414771604004,56.6635298073996,0.6108975,"node"
"160",198,"node78",202,"node82",0.887438474318198,48.1065292378567,9.167898,"node"
"161",202,"node82",203,"node83",6.07770594367478,54.1842351815314,3.0901921,"node"
"162",203,"node83",204,"node84",1.76071680866131,55.9449519901928,1.3294753,"node"
"163",204,"node84",205,"node85",0.267284588596652,56.2122365787894,1.0621907,"node"
"166",204,"node84",206,"node86",1.16845596594941,57.1134079561422,0.1610193,"node"
"169",203,"node83",207,"node87",0.895765652276862,55.0800008338083,2.1944264,"node"
"170",207,"node87",208,"node88",1.64137420184969,56.721375035658,0.5530522,"node"
"174",202,"node82",209,"node89",0.874297075969213,48.9808263138259,8.293601,"node"
"175",209,"node89",210,"node90",3.59656383684206,52.5773901506679,4.6970371,"node"
"177",210,"node90",211,"node91",1.91229646221704,54.489686612885,2.7847407,"node"
"179",211,"node91",212,"node92",0.820838076260793,55.3105246891458,1.9639026,"node"
"180",212,"node92",213,"node93",1.30699025813769,56.6175149472835,0.6569123,"node"
"183",212,"node92",214,"node94",0.896228692034732,56.2067533811805,1.0676739,"node"
"185",214,"node94",215,"node95",0.0130493459478995,56.2198027271284,1.0546245,"node"
"187",215,"node95",216,"node96",0.44835345119946,56.6681561783279,0.6062711,"node"
"188",216,"node96",217,"node97",0.421381818081879,57.0895379964097,0.1848893,"node"
"190",217,"node97",218,"node98",0.0129897347421928,57.1025277311519,0.1718995,"node"
"194",209,"node89",219,"node99",2.64375771961978,51.6245840334457,5.6498432,"node"
"195",219,"node99",220,"node100",4.34271435205607,55.9672983855017,1.3071289,"node"
"196",220,"node100",221,"node101",0.769464098745227,56.7367624842469,0.5376648,"node"
"200",219,"node99",222,"node102",1.05909050106431,52.68367453451,4.5907527,"node"
"202",222,"node102",223,"node103",2.81776889176122,55.5014434262712,1.7729838,"node"
"205",194,"node74",224,"node104",1.39572835494133,47.25226542452,10.0221618,"node"
"206",224,"node104",225,"node105",6.38660591525682,53.6388713397768,3.6355559,"node"
"209",224,"node104",226,"node106",5.19806072634174,52.4503261508618,4.8241011,"node"
"210",226,"node106",227,"node107",1.78759291040842,54.2379190612702,3.0365082,"node"
"212",227,"node107",228,"node108",0.315537434253569,54.5534564955238,2.7209708,"node"
"213",228,"node108",229,"node109",0.248371435274441,54.8018279307982,2.4725993,"node"
"214",229,"node109",230,"node110",0.188403154373655,54.9902310851718,2.2841962,"node"
"215",230,"node110",231,"node111",1.7244944472857,56.7147255324576,0.5597017,"node"
"218",230,"node110",232,"node112",1.00048999565416,55.990721080826,1.2837062,"node"
"219",232,"node112",233,"node113",0.884495228817943,56.875216309644,0.399211,"node"
"225",226,"node106",234,"node114",1.91401574409422,54.364341894956,2.9100854,"node"
"226",234,"node114",235,"node115",1.91806964944085,56.2824115443968,0.9920157,"node"
"227",235,"node115",236,"node116",0.949158962588485,57.2315705069853,0.0428568,"node"
"230",235,"node115",237,"node117",0.496524923414538,56.7789364678114,0.4954908,"node"
"233",234,"node114",238,"node118",2.24217325837563,56.6065151533316,0.6679121,"node"
"236",192,"node72",239,"node119",18.8300818121879,56.78080255586,0.4936247,"node"
"239",NA,NA,121,"node1",NA,0,57.2744272642331,"root"
