taxon	min	max
Lasius_longipennis	11.607999999999999	12.7
Lasius_mordicus	11.607999999999999	15.97
Lasius_nemorivagus	33.9	38.0
Lasius_oblongus	5.332999999999999	11.607999999999999
Lasius_occultatus	12.7	13.65
Lasius_ophthalmicus	11.607999999999999	12.7
Lasius_peritulus	33.9	37.2
Lasius_pumilus	33.9	38.0
Lasius_punctulatus	33.9	38.0
Lasius_schiefferdeckeri	33.9	38.0
Lasius_tertiarius	11.607999999999999	12.7
Lasius_truncatus	11.607999999999999	15.97
Lasius_validus	11.607999999999999	15.97
Lasius_vetulus	11.607999999999999	15.97
Leptogasteritus_capricornutes	48.6	55.8
Leucotaphus_donisthorpei	33.9	38.0
Leucotaphus_gurnetensis	33.9	38.0
Liaoformica_longipetiolata	48.6	55.8
Longiformica_dongzhouheensis	48.6	55.8
Longiformica_guchengziensis	48.6	55.8
Magnogasterites_curticornutus	48.6	55.8
Myrmecorhynchus_novaeseelandiae	20.44	23.03
Nylanderia_pygmaea	33.9	38.0
Nylanderia_vetula	13.82	20.44
Oecophylla_atavina	33.9	38.0
Oecophylla_bartoniana	41.3	47.8
Oecophylla_brischkei	33.9	38.0
Oecophylla_crassinoda	33.9	38.0
Oecophylla_eckfeldiana	40.4	48.6
Oecophylla_grandimandibula	5.332999999999999	8.7
Oecophylla_leakeyi	15.97	20.44
Oecophylla_longiceps	40.4	48.6
Oecophylla_megarche	33.9	38.0
Oecophylla_obesa	11.607999999999999	12.7
Oecophylla_praeclara	28.4	33.9
Oecophylla_sicula	5.332999999999999	11.607999999999999
Oecophylla_superba	28.4	33.9
Orbicapitia_reticulata	48.6	55.8
Ovalicapito_fushunensis	48.6	55.8
Ovaligastrula_xilutianensis	48.6	55.8
Plagiolepis_klinsmanni	33.9	38.0
Plagiolepis_kuenowi	33.9	38.0
Plagiolepis_labilis	5.332999999999999	11.607999999999999
Plagiolepis_minutissima	33.9	38.0
Plagiolepis_paradoxa	33.9	38.0
Plagiolepis_singularis	33.9	38.0
Plagiolepis_solitaria	33.9	38.0
Plagiolepis_squamifera	33.9	38.0
Plagiolepis_wheeleri	33.9	38.0
Polyrhachis_annosus	5.332999999999999	7.246
Prenolepis_henschei	33.9	38.0
Prodimorphomyrmex_primigenius	33.9	38.0
Protoformica_proformicoides	33.9	38.0
Protomyrmica_atavia	33.9	38.0
Protrechina_carpenteri	38.0	41.3
Pseudocamponotus_elkoanus	28.4	37.2
Pseudolasius_boreus	33.9	38.0
Sicilomyrmex_corniger	5.332999999999999	11.607999999999999
Sinoformica_longicapitata	48.6	55.8
Sinotenuicapito_badis	48.6	55.8
Wilsonia_liaoningensis	48.6	55.8
Wilsonia_megagastrosa	48.6	55.8
Zatania_electra	13.82	20.44
Formicium_berryi	38.0	41.3
Formicium_brodiei	33.9	38.0
Pristomyrmex_rasnitsyni	33.9	38.0
Quadrulicapito_longa	48.6	55.8
Sinomyrmex_brunneus	48.6	55.8
Sinomyrmex_furvis	48.6	55.8
Solenopsis_alena	28.4	33.9
Solenopsis_blanda	28.4	33.9
Solenopsis_foersteri	28.4	33.9
Solenopsis_maxima	28.4	33.9
Solenopsis_moesta	28.4	33.9
