SimID,Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Segregating-Sites,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Multinomial-Likelihood
107,35,1025,1841,0.1135394,0.1164571,3,12,315,1832,512,10,0,0.08723748,0,0,26,463,0.01478069,-nan,0.01401187,-nan,0.01526857,-nan,0.01506286,-nan,0.0009849598,-nan,0.000828971,-nan,0.001132013,-nan,0.001025731,-nan,0.1779316,-3.248412,0.00363202,-8094.915
108,35,964,1841,0.1076759,0.1389338,3,11,326,1832,512,9,0,0.09622745,0,0,26,480,0.01503198,-nan,0.01794843,-nan,0.01325714,-nan,0.01388571,-nan,0.0009035456,-nan,0.001278837,-nan,0.0007197573,-nan,0.0007795759,-nan,0.1779316,-3.243465,0.003897449,-8414.458
109,35,1001,1841,0.108209,0.1453958,3,9,318,1832,512,8,0,0.09841443,0,0,26,461,0.01570591,-nan,0.01401187,-nan,0.01419429,-nan,0.01891429,-nan,0.0009447244,-nan,0.00072844,-nan,0.0008848702,-nan,0.001290913,-nan,0.1779316,-3.246723,0.003722633,-8248.099
110,35,1002,1841,0.1242004,0.1343042,3,18,325,1832,512,12,0,0.1050081,0,0,26,448,0.01650929,-nan,0.01607713,-nan,0.01770286,-nan,0.01574857,-nan,0.001143658,-nan,0.00111914,-nan,0.00124531,-nan,0.001095874,-nan,0.1779316,-3.243763,0.003881452,-8333.091
111,35,970,1841,0.1236674,0.1292407,3,11,322,1832,512,9,0,0.09822866,0,0,26,474,0.01570591,-nan,0.01552944,-nan,0.01659429,-nan,0.01499429,-nan,0.001064497,-nan,0.001036742,-nan,0.001129875,-nan,0.001045119,-nan,0.1779316,-3.241911,0.00398083,-8437.416
112,35,961,1841,0.1151386,0.1292407,3,9,326,1832,512,10,0,0.0923825,0,0,26,473,0.01462458,-nan,0.01447969,-nan,0.01571429,-nan,0.01368,-nan,0.000942103,-nan,0.0009248341,-nan,0.001058782,-nan,0.0008639291,-nan,0.1779316,-3.242653,0.003941002,-8457.058
113,35,998,1841,0.1092751,0.1470113,3,15,318,1832,512,10,0,0.1016949,0,0,26,471,0.016159,-nan,0.01500456,-nan,0.01510857,-nan,0.01836571,-nan,0.001007095,-nan,0.0009585214,-nan,0.0008237406,-nan,0.001295635,-nan,0.1779316,-3.243824,0.003878165,-8317.467
114,35,1029,1841,0.1210021,0.1260097,3,13,312,1832,512,11,0,0.09369952,0,0,26,445,0.01577444,-nan,0.0159288,-nan,0.01625143,-nan,0.01514286,-nan,0.001107623,-nan,0.001049588,-nan,0.001167665,-nan,0.001133082,-nan,0.1779316,-3.246045,0.003759009,-8144.463
115,35,997,1841,0.1092751,0.1260097,3,8,306,1832,512,14,0,0.09606987,0,0,26,475,0.01486445,-nan,0.01420584,-nan,0.01526857,-nan,0.01512,-nan,0.0009167873,-nan,0.0008759083,-nan,0.0009734767,-nan,0.0009175602,-nan,0.1779316,-3.246916,0.003712278,-8213.302
116,35,976,1841,0.1135394,0.1304348,3,9,310,1832,512,8,0,0.09208401,0,0,26,456,0.01528708,-nan,0.01555226,-nan,0.01594286,-nan,0.01436571,-nan,0.0009984858,-nan,0.001032686,-nan,0.001110024,-nan,0.0008739533,-nan,0.1779316,-3.240679,0.004046954,-8331.012
117,35,992,1841,0.119403,0.1227787,3,9,316,1832,512,8,0,0.09400324,0,0,26,450,0.01566403,-nan,0.01374943,-nan,0.01814857,-nan,0.01509714,-nan,0.001089797,-nan,0.0009214006,-nan,0.001428656,-nan,0.0009725131,-nan,0.1779316,-3.245659,0.003779718,-8367.864
118,35,934,1841,0.1098081,0.1243942,3,8,323,1832,512,10,0,0.09339775,0,0,26,482,0.01445705,-nan,0.01500456,-nan,0.01532571,-nan,0.01304,-nan,0.0008906438,-nan,0.0008995907,-nan,0.0009859524,-nan,0.0008148508,-nan,0.1779316,-3.240969,0.004031396,-8576.972
119,35,970,1841,0.1204691,0.1235648,3,10,321,1832,512,10,0,0.08562197,0,0,26,461,0.0147845,-nan,0.01323597,-nan,0.01444571,-nan,0.01667429,-nan,0.001015135,-nan,0.0008407551,-nan,0.0009429988,-nan,0.001306781,-nan,0.1779316,-3.243212,0.003911035,-8434.557
120,35,1017,1841,0.1114072,0.1288245,3,13,310,1832,512,10,0,0.09693053,0,0,26,459,0.01485303,-nan,0.01438841,-nan,0.01609143,-nan,0.01408,-nan,0.0009345272,-nan,0.0008284259,-nan,0.001166394,-nan,0.0008486013,-nan,0.1779316,-3.245507,0.00378788,-8163.043
121,35,984,1841,0.1140725,0.1260097,3,11,322,1832,512,11,0,0.09339775,0,0,26,474,0.01536704,-nan,0.01638521,-nan,0.01540571,-nan,0.01430857,-nan,0.0009937624,-nan,0.001111215,-nan,0.001012704,-nan,0.0008793055,-nan,0.1779316,-3.242372,0.003956122,-8303.48
122,35,1003,1841,0.1146055,0.1373183,3,11,316,1832,512,11,0,0.1033926,0,0,26,459,0.01548507,-nan,0.01602008,-nan,0.01204571,-nan,0.01838857,-nan,0.001003736,-nan,0.001019517,-nan,0.0007287139,-nan,0.00133969,-nan,0.1779316,-3.242958,0.003924676,-8237.279
123,35,1003,1841,0.1071429,0.1147011,3,13,325,1832,512,9,0,0.08562197,0,0,26,458,0.01403442,-nan,0.01446828,-nan,0.01492571,-nan,0.01270857,-nan,0.0008501403,-nan,0.0009739086,-nan,0.0009006575,-nan,0.0007090932,-nan,0.1779316,-3.244217,0.003857128,-8225.615
124,35,962,1841,0.1204691,0.1324717,3,12,322,1832,512,7,0,0.09854604,0,0,26,481,0.01571352,-nan,0.01565495,-nan,0.01555429,-nan,0.01593143,-nan,0.001064661,-nan,0.0009446976,-nan,0.001160069,-nan,0.001126027,-nan,0.1779316,-3.242034,0.003974256,-8495.528
125,35,985,1841,0.108209,0.1108079,3,14,311,1832,512,19,0,0.07754443,0,0,26,454,0.0134138,-nan,0.01308763,-nan,0.01341714,-nan,0.01373714,-nan,0.0008349527,-nan,0.0008161404,-nan,0.0008664066,-nan,0.0008444311,-nan,0.1779316,-3.24516,0.003806507,-8275.287
126,35,978,1841,0.1252665,0.1421648,3,14,324,1832,512,10,0,0.1037277,0,0,26,452,0.01652452,-nan,0.01563213,-nan,0.01797714,-nan,0.01596571,-nan,0.001172788,-nan,0.001020943,-nan,0.001375829,-nan,0.001156953,-nan,0.1779316,-3.246299,0.003745368,-8331.738
127,35,961,1841,0.1124733,0.1292407,3,11,337,1832,512,9,0,0.08723748,0,0,26,461,0.01472738,-nan,0.0131675,-nan,0.01496,-nan,0.01605714,-nan,0.0009160892,-nan,0.0007153882,-nan,0.0009492968,-nan,0.0011252,-nan,0.1779316,-3.241039,0.004027616,-8480.352
